income,credit_score,debt_ratio,gender,approved
62451,673,0.47,female,0
59784,693,0.45,male,1
47958,707,0.19,male,0
41139,549,0.25,male,0
39808,695,0.25,female,0
22906,648,0.36,female,0
46834,685,0.4,female,0
69212,694,0.32,male,1
54798,627,0.12,male,1
60840,616,0.36,male,1
35077,689,0.58,male,0
68226,629,0.24,male,0
48090,732,0.24,male,0
57016,709,0.46,male,1
42412,664,0.53,female,0
71495,671,0.26,male,1
67188,747,0.54,male,0
53863,728,0.38,male,1
54463,758,0.36,female,1
54087,609,0.35,male,1
51705,697,0.31,female,0
66156,669,0.18,female,0
68731,696,0.5,male,1
57633,664,0.16,male,1
49118,606,0.51,female,0
60183,660,0.27,male,1
52581,700,0.36,male,0
76059,679,0.25,male,0
55903,803,0.13,female,1
51115,651,0.34,female,0
72142,717,0.22,female,1
75760,750,0.37,female,1
40142,651,0.12,male,1
68104,680,0.21,female,0
39065,703,0.45,male,0
52586,660,0.16,male,0
67203,618,0.51,female,1
93087,663,0.55,female,0
58898,719,0.27,female,1
41993,710,0.14,male,1
59396,644,0.1,female,1
36747,732,0.21,male,1
40380,719,0.26,male,1
74026,701,0.38,male,1
51319,642,0.23,male,1
51406,740,0.35,male,1
51030,816,0.2,male,1
69658,682,0.19,male,1
51648,715,0.11,female,1
66105,657,0.29,male,1
48302,722,0.18,male,1
56387,711,0.15,male,1
55873,622,0.54,male,1
70993,632,0.25,female,1
62726,705,0.53,female,1
68079,751,0.42,female,1
69310,712,0.55,male,0
32488,688,0.12,female,0
89720,586,0.24,male,1
56203,635,0.36,male,1
44270,713,0.41,female,1
82651,748,0.59,female,1
24623,689,0.5,male,0
29963,641,0.19,female,0
47876,647,0.37,female,0
73996,698,0.41,female,1
32209,655,0.28,male,0
83080,679,0.34,male,0
51211,617,0.3,male,1
74849,673,0.41,male,0
72447,680,0.43,male,0
55913,712,0.39,female,1
78790,618,0.33,female,1
56065,701,0.55,male,1
59215,648,0.14,female,1
48032,648,0.45,male,0
68494,695,0.47,female,0
68151,707,0.5,male,1
54686,685,0.29,male,0
72429,757,0.48,male,1
74582,681,0.26,male,1
67810,666,0.58,male,0
56455,709,0.42,male,0
48298,740,0.48,female,0
64362,711,0.15,male,1
54868,575,0.54,male,1
42618,663,0.17,female,0
75368,658,0.51,male,0
47934,691,0.14,male,0
47839,646,0.14,male,1
59664,753,0.31,male,1
54932,645,0.16,female,0
59841,638,0.47,female,0
56333,607,0.53,male,0
58361,680,0.14,male,1
55815,793,0.45,male,1
87298,641,0.39,female,0
69645,607,0.19,male,1
23142,653,0.39,female,0
60437,708,0.18,female,1
35197,771,0.57,male,0
50767,694,0.29,female,0
53282,741,0.31,female,1
54168,692,0.6,male,0
55079,682,0.48,male,0
31013,611,0.44,female,0
31988,743,0.16,male,1
85711,685,0.53,male,1
85911,767,0.54,male,0
50964,754,0.21,female,1
70876,592,0.3,female,1
52944,690,0.49,male,0
79429,610,0.53,male,0
66946,665,0.59,male,0
23988,675,0.42,female,0
53870,624,0.27,female,1
54060,727,0.43,male,1
47865,639,0.14,female,0
53395,628,0.2,female,1
20758,674,0.5,male,0
44504,690,0.54,female,0
45695,643,0.2,male,0
50874,564,0.41,female,0
22118,722,0.55,male,0
101183,735,0.15,male,1
18149,639,0.29,male,0
45301,625,0.16,male,0
68658,732,0.35,female,1
56161,636,0.39,female,0
78731,660,0.28,female,0
68893,775,0.28,male,1
56910,661,0.18,male,1
45240,655,0.19,female,0
46822,554,0.59,female,0
51416,634,0.58,male,0
59104,643,0.43,male,0
56490,717,0.39,male,1
43574,651,0.31,female,0
30587,682,0.16,female,0
66966,623,0.34,male,1
45222,682,0.27,male,0
66404,735,0.4,male,1
17925,640,0.27,male,0
56341,704,0.52,female,1
60064,659,0.2,male,1
50214,707,0.36,male,1
68067,663,0.3,male,1
74516,646,0.25,female,0
55276,763,0.22,male,1
67347,724,0.41,male,1
32821,737,0.17,female,0
73710,728,0.49,female,1
48110,637,0.22,male,1
61031,662,0.51,male,1
50952,631,0.5,male,0
46710,728,0.42,male,0
61202,773,0.23,male,1
47306,688,0.3,male,0
64815,677,0.18,male,1
94654,669,0.54,male,0
56641,716,0.45,male,1
61632,692,0.4,female,0
78898,654,0.57,male,0
66716,806,0.3,female,1
52630,658,0.5,female,0
20189,668,0.27,male,0
49963,763,0.21,male,0
52764,679,0.31,female,0
51536,714,0.39,male,1
62750,640,0.6,male,0
93600,682,0.13,female,0
65114,674,0.2,male,1
54509,652,0.38,male,1
15110,576,0.38,female,0
49860,661,0.53,female,0
62916,721,0.3,male,1
69035,743,0.11,male,1
44075,684,0.19,male,0
36668,715,0.15,male,1
40894,691,0.3,male,0
38784,710,0.25,female,0
81470,617,0.29,female,0
31651,710,0.41,female,0
22452,592,0.57,male,0
46826,699,0.53,male,0
54536,663,0.11,male,1
59617,594,0.42,female,0
48728,615,0.24,male,0
57938,631,0.24,male,1
65764,656,0.11,male,1
58840,729,0.4,male,1
62654,672,0.29,male,1
45628,681,0.18,male,0
57978,608,0.29,female,1
41152,612,0.46,male,0
28696,784,0.57,female,0
42125,715,0.12,male,1
32212,679,0.4,male,0
72239,644,0.15,female,1
49977,778,0.32,female,0
